MOTIVO_D;DURACAO;ds_origem_sigla;ds_origem_nome;ds_destino_sigla;ds_destino_nome
Trabalho Serviços;10;SEE;SE;REP;REPUBLICA
Trabalho Serviços;50;SEE;SE;PIN;PINHEIROS
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Comércio;20;SEE;SE;BVI;BELA VISTA
Procurar Emprego;15;SEE;SE;REP;REPUBLICA
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Serviços;20;SEE;SE;VMN;VILA MARIANA
Trabalho Serviços;25;SEE;SE;VMN;VILA MARIANA
Trabalho Serviços;40;SEE;SE;JDP;JARDIM PAULISTA
Procurar Emprego;40;SEE;SE;TAT;TATUAPE
Trabalho Serviços;15;SEE;SE;REP;REPUBLICA
Trabalho Serviços;80;SEE;SE;fora_sp;Fora São Paulo
Trabalho Serviços;60;SEE;SE;TUC;TUCURUVI
Trabalho Serviços;10;SEE;SE;SEE;SE
Trabalho Comércio;15;SEE;SE;BRE;BOM RETIRO
Trabalho Serviços;75;SEE;SE;fora_sp;Fora São Paulo
Trabalho Comércio;3;SEE;SE;SEE;SE
Trabalho Comércio;3;SEE;SE;SEE;SE
Trabalho Serviços;10;SEE;SE;REP;REPUBLICA
Trabalho Serviços;10;SEE;SE;REP;REPUBLICA
Trabalho Indústria;70;SEE;SE;SDO;SAO DOMINGOS
Trabalho Serviços;10;SEE;SE;SEE;SE
Trabalho Serviços;30;SEE;SE;BRS;BRAS
Trabalho Serviços;45;SEE;SE;MAN;MANDAQUI
Trabalho Serviços;5;STN;SANTANA;MAN;MANDAQUI
Trabalho Serviços;15;SEE;SE;BVI;BELA VISTA
Trabalho Serviços;5;JDP;JARDIM PAULISTA;BVI;BELA VISTA
Trabalho Comércio;30;SEE;SE;BVI;BELA VISTA
Trabalho Comércio;45;SEE;SE;INI;ITAIM BIBI
Trabalho Serviços;45;SEE;SE;BUT;BUTANTA
Trabalho Serviços;30;CON;CONSOLACAO;MOE;MOEMA
Trabalho Serviços;20;SEE;SE;BRS;BRAS
Trabalho Serviços;100;SEE;SE;VCR;VILA CURUCA
Trabalho Serviços;45;SEE;SE;JDP;JARDIM PAULISTA
Trabalho Serviços;10;JDP;JARDIM PAULISTA;JDP;JARDIM PAULISTA
Trabalho Serviços;25;SEE;SE;REP;REPUBLICA
Trabalho Serviços;30;SEE;SE;VMN;VILA MARIANA
Trabalho Serviços;30;SEE;SE;CON;CONSOLACAO
Trabalho Serviços;10;SEE;SE;REP;REPUBLICA
Trabalho Serviços;10;SEE;SE;REP;REPUBLICA
Trabalho Serviços;1;SEE;SE;SEE;SE
Trabalho Serviços;1;SEE;SE;SEE;SE
Trabalho Serviços;1;SEE;SE;SEE;SE
Trabalho Indústria;5;SEE;SE;SEE;SE
Trabalho Serviços;2;SEE;SE;SEE;SE
Trabalho Serviços;2;SEE;SE;SEE;SE
Trabalho Serviços;30;SEE;SE;CMB;CAMBUCI
Trabalho Serviços;45;SEE;SE;PIN;PINHEIROS
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Comércio;15;SEE;SE;SEE;SE
Trabalho Serviços;15;SEE;SE;REP;REPUBLICA
Trabalho Serviços;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;3;SEE;SE;REP;REPUBLICA
Trabalho Serviços;3;SEE;SE;REP;REPUBLICA
Trabalho Serviços;40;SEE;SE;VGL;VILA GUILHERME
Trabalho Serviços;40;SEE;SE;SCE;SANTA CECILIA
Trabalho Serviços;60;SEE;SE;CBE;CAMPO BELO
Trabalho Comércio;60;SEE;SE;CVE;CASA VERDE
Trabalho Serviços;25;SEE;SE;JDP;JARDIM PAULISTA
Trabalho Serviços;20;BRE;BOM RETIRO;STN;SANTANA
Trabalho Serviços;15;STN;SANTANA;PRI;PARI
Trabalho Comércio;30;SEE;SE;SEE;SE
Trabalho Comércio;30;SEE;SE;SEE;SE
Trabalho Comércio;5;SEE;SE;SEE;SE
Trabalho Comércio;5;SEE;SE;SEE;SE
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Serviços;70;SEE;SE;INI;ITAIM BIBI
Trabalho Serviços;50;SEE;SE;MOE;MOEMA
Trabalho Serviços;10;SEE;SE;SEE;SE
Trabalho Serviços;4;SEE;SE;REP;REPUBLICA
Trabalho Comércio;25;SEE;SE;PRI;PARI
Trabalho Serviços;30;SEE;SE;PIN;PINHEIROS
Trabalho Comércio;10;SEE;SE;BRE;BOM RETIRO
Trabalho Comércio;1;SEE;SE;SEE;SE
Trabalho Serviços;20;BRS;BRAS;BRE;BOM RETIRO
Trabalho Serviços;3;SEE;SE;BRE;BOM RETIRO
Trabalho Serviços;45;SEE;SE;fora_sp;Fora São Paulo
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Serviços;35;SEE;SE;JDP;JARDIM PAULISTA
Trabalho Serviços;5;JDP;JARDIM PAULISTA;JDP;JARDIM PAULISTA
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Serviços;90;SEE;SE;fora_sp;Fora São Paulo
Trabalho Serviços;15;SEE;SE;SEE;SE
Trabalho Serviços;15;BRE;BOM RETIRO;SEE;SE
Trabalho Serviços;7;SEE;SE;SEE;SE
Trabalho Serviços;15;BRE;BOM RETIRO;SEE;SE
Trabalho Serviços;15;BRE;BOM RETIRO;SEE;SE
Trabalho Serviços;90;SEE;SE;PIN;PINHEIROS
Trabalho Serviços;60;SEE;SE;CTI;CIDADE TIRADENTES
Trabalho Serviços;60;SEE;SE;INI;ITAIM BIBI
Trabalho Serviços;5;INI;ITAIM BIBI;INI;ITAIM BIBI
Trabalho Serviços;90;SEE;SE;SAM;SANTO AMARO
Trabalho Serviços;10;SAM;SANTO AMARO;SAM;SANTO AMARO
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Comércio;15;SEE;SE;SEE;SE
Trabalho Comércio;20;SEE;SE;BRS;BRAS
Trabalho Comércio;5;SEE;SE;SEE;SE
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Comércio;15;SEE;SE;BRS;BRAS
Trabalho Comércio;15;SEE;SE;BRS;BRAS
Trabalho Serviços;15;SEE;SE;REP;REPUBLICA
Trabalho Serviços;30;SEE;SE;PIN;PINHEIROS
Trabalho Serviços;30;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;20;REP;REPUBLICA;BRS;BRAS
Trabalho Serviços;30;REP;REPUBLICA;IPI;IPIRANGA
Trabalho Comércio;10;REP;REPUBLICA;BVI;BELA VISTA
Trabalho Serviços;5;REP;REPUBLICA;SEE;SE
Trabalho Comércio;25;REP;REPUBLICA;SEE;SE
Trabalho Indústria;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Indústria;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;35;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;40;REP;REPUBLICA;SAU;SAUDE
Trabalho Comércio;25;REP;REPUBLICA;VSO;VILA SONIA
Trabalho Serviços;60;REP;REPUBLICA;SAU;SAUDE
Trabalho Serviços;5;SAU;SAUDE;SAU;SAUDE
Trabalho Serviços;50;REP;REPUBLICA;BRE;BOM RETIRO
Trabalho Comércio;15;REP;REPUBLICA;REP;REPUBLICA
Procurar Emprego;40;REP;REPUBLICA;CGR;CAMPO GRANDE
Trabalho Comércio;25;REP;REPUBLICA;SEE;SE
Trabalho Serviços;30;REP;REPUBLICA;BVI;BELA VISTA
Trabalho Comércio;30;REP;REPUBLICA;BRS;BRAS
Trabalho Serviços;20;SCE;SANTA CECILIA;JDP;JARDIM PAULISTA
Trabalho Serviços;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;20;REP;REPUBLICA;SEE;SE
Trabalho Comércio;20;REP;REPUBLICA;SEE;SE
Trabalho Serviços;45;REP;REPUBLICA;PRI;PARI
Trabalho Serviços;10;LIB;LIBERDADE;REP;REPUBLICA
Trabalho Serviços;10;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;30;REP;REPUBLICA;BRS;BRAS
Trabalho Indústria;60;REP;REPUBLICA;INI;ITAIM BIBI
Trabalho Indústria;10;INI;ITAIM BIBI;INI;ITAIM BIBI
Trabalho Indústria;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Indústria;40;REP;REPUBLICA;BRS;BRAS
Trabalho Comércio;40;REP;REPUBLICA;VMN;VILA MARIANA
Trabalho Serviços;30;REP;REPUBLICA;SEE;SE
Trabalho Serviços;15;REP;REPUBLICA;SEE;SE
Trabalho Serviços;20;REP;REPUBLICA;CMB;CAMBUCI
Trabalho Serviços;30;REP;REPUBLICA;BVI;BELA VISTA
Trabalho Serviços;30;REP;REPUBLICA;BVI;BELA VISTA
Trabalho Serviços;10;REP;REPUBLICA;SEE;SE
Trabalho Serviços;10;REP;REPUBLICA;SEE;SE
Trabalho Comércio;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;50;REP;REPUBLICA;IPI;IPIRANGA
Trabalho Serviços;45;REP;REPUBLICA;STN;SANTANA
Trabalho Serviços;40;STN;SANTANA;BVI;BELA VISTA
Trabalho Serviços;20;REP;REPUBLICA;CON;CONSOLACAO
Trabalho Comércio;2;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;75;REP;REPUBLICA;VSO;VILA SONIA
Trabalho Serviços;135;REP;REPUBLICA;fora_sp;Fora São Paulo
Trabalho Serviços;50;REP;REPUBLICA;CON;CONSOLACAO
Trabalho Indústria;120;REP;REPUBLICA;fora_sp;Fora São Paulo
Trabalho Comércio;85;VMN;VILA MARIANA;SAM;SANTO AMARO
Trabalho Comércio;50;REP;REPUBLICA;BUT;BUTANTA
Trabalho Serviços;60;REP;REPUBLICA;INI;ITAIM BIBI
Trabalho Serviços;40;REP;REPUBLICA;MOE;MOEMA
Trabalho Serviços;50;REP;REPUBLICA;API;ALTO DE PINHEIROS
Trabalho Serviços;15;REP;REPUBLICA;BRS;BRAS
Trabalho Serviços;20;REP;REPUBLICA;SEE;SE
Trabalho Serviços;20;REP;REPUBLICA;SEE;SE
Trabalho Serviços;15;SEE;SE;SEE;SE
Trabalho Serviços;80;REP;REPUBLICA;fora_sp;Fora São Paulo
Trabalho Serviços;15;REP;REPUBLICA;CMB;CAMBUCI
Trabalho Serviços;5;CON;CONSOLACAO;CMB;CAMBUCI
Trabalho Serviços;20;REP;REPUBLICA;BVI;BELA VISTA
Trabalho Serviços;20;REP;REPUBLICA;BVI;BELA VISTA
Trabalho Serviços;80;REP;REPUBLICA;LIM;LIMAO
Trabalho Serviços;10;MAN;MANDAQUI;LIM;LIMAO
Trabalho Serviços;30;REP;REPUBLICA;SAM;SANTO AMARO
Trabalho Serviços;4;REP;REPUBLICA;CON;CONSOLACAO
Trabalho Serviços;10;REP;REPUBLICA;CON;CONSOLACAO
Trabalho Serviços;30;REP;REPUBLICA;SAM;SANTO AMARO
Trabalho Serviços;45;REP;REPUBLICA;PRD;PERDIZES
Trabalho Serviços;30;REP;REPUBLICA;LAP;LAPA
Trabalho Serviços;10;FRE;FREGUESIA DO O;LAP;LAPA
Trabalho Serviços;30;REP;REPUBLICA;LAP;LAPA
Trabalho Serviços;30;REP;REPUBLICA;SCE;SANTA CECILIA
Trabalho Serviços;5;SCE;SANTA CECILIA;SCE;SANTA CECILIA
Trabalho Serviços;3;REP;REPUBLICA;CON;CONSOLACAO
Trabalho Serviços;3;REP;REPUBLICA;CON;CONSOLACAO
Trabalho Serviços;40;REP;REPUBLICA;BVI;BELA VISTA
Trabalho Serviços;5;BVI;BELA VISTA;BVI;BELA VISTA
Trabalho Serviços;90;REP;REPUBLICA;fora_sp;Fora São Paulo
Trabalho Serviços;25;REP;REPUBLICA;SEE;SE
Trabalho Serviços;10;BRS;BRAS;SEE;SE
Trabalho Serviços;30;REP;REPUBLICA;BRS;BRAS
Trabalho Serviços;8;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;40;REP;REPUBLICA;INI;ITAIM BIBI
Trabalho Serviços;50;REP;REPUBLICA;INI;ITAIM BIBI
Trabalho Serviços;7;INI;ITAIM BIBI;INI;ITAIM BIBI
Trabalho Serviços;90;REP;REPUBLICA;JDS;JARDIM SAO LUIS
Trabalho Serviços;70;REP;REPUBLICA;INI;ITAIM BIBI
Trabalho Serviços;30;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;40;REP;REPUBLICA;CON;CONSOLACAO
Trabalho Serviços;60;REP;REPUBLICA;INI;ITAIM BIBI
Trabalho Serviços;15;INI;ITAIM BIBI;INI;ITAIM BIBI
Trabalho Comércio;15;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;15;REP;REPUBLICA;CON;CONSOLACAO
Trabalho Comércio;60;REP;REPUBLICA;CDU;CIDADE DUTRA
Trabalho Serviços;30;REP;REPUBLICA;JDP;JARDIM PAULISTA
Trabalho Serviços;40;REP;REPUBLICA;MOE;MOEMA
Trabalho Serviços;20;REP;REPUBLICA;CON;CONSOLACAO
Trabalho Serviços;30;REP;REPUBLICA;SAU;SAUDE
Procurar Emprego;50;REP;REPUBLICA;INI;ITAIM BIBI
Trabalho Serviços;30;REP;REPUBLICA;BVI;BELA VISTA
Trabalho Serviços;30;REP;REPUBLICA;SEE;SE
Trabalho Serviços;20;VMN;VILA MARIANA;BVI;BELA VISTA
Trabalho Serviços;40;BVI;BELA VISTA;MOE;MOEMA
Trabalho Serviços;5;MOE;MOEMA;MOE;MOEMA
Trabalho Serviços;20;VMN;VILA MARIANA;BVI;BELA VISTA
Trabalho Comércio;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;30;REP;REPUBLICA;JDP;JARDIM PAULISTA
Trabalho Serviços;15;REP;REPUBLICA;SEE;SE
Trabalho Serviços;80;REP;REPUBLICA;PIR;PIRITUBA
Trabalho Serviços;30;REP;REPUBLICA;JDP;JARDIM PAULISTA
Trabalho Serviços;22;REP;REPUBLICA;SEE;SE
Trabalho Serviços;30;REP;REPUBLICA;SAU;SAUDE
Trabalho Serviços;30;REP;REPUBLICA;BVI;BELA VISTA
Trabalho Serviços;15;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;30;REP;REPUBLICA;BRS;BRAS
Trabalho Serviços;60;REP;REPUBLICA;SAU;SAUDE
Trabalho Serviços;45;REP;REPUBLICA;INI;ITAIM BIBI
Trabalho Comércio;15;REP;REPUBLICA;BRS;BRAS
Trabalho Serviços;30;REP;REPUBLICA;PRD;PERDIZES
Trabalho Serviços;1;PRD;PERDIZES;PRD;PERDIZES
Trabalho Serviços;75;REP;REPUBLICA;TRE;TREMEMBE
Trabalho Serviços;10;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;10;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;10;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;40;REP;REPUBLICA;SAU;SAUDE
Trabalho Serviços;30;REP;REPUBLICA;LAP;LAPA
Trabalho Serviços;5;LAP;LAPA;LAP;LAPA
Trabalho Serviços;30;REP;REPUBLICA;JDP;JARDIM PAULISTA
Trabalho Serviços;10;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;2;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;10;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;2;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;15;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;2;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;3;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;30;REP;REPUBLICA;BEL;BELEM
Trabalho Serviços;10;VMN;VILA MARIANA;VMN;VILA MARIANA
Trabalho Serviços;15;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;1;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;1;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;1;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;1;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;15;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;10;BVI;BELA VISTA;REP;REPUBLICA
Trabalho Serviços;15;REP;REPUBLICA;SEE;SE
Trabalho Serviços;15;REP;REPUBLICA;SEE;SE
Trabalho Serviços;10;REP;REPUBLICA;SCE;SANTA CECILIA
Trabalho Comércio;2;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;10;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;15;REP;REPUBLICA;SEE;SE
Trabalho Serviços;55;REP;REPUBLICA;INI;ITAIM BIBI
Trabalho Serviços;90;REP;REPUBLICA;fora_sp;Fora São Paulo
Trabalho Comércio;40;REP;REPUBLICA;VMN;VILA MARIANA
Trabalho Comércio;2;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;2;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;2;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;30;REP;REPUBLICA;SCE;SANTA CECILIA
Trabalho Comércio;2;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;10;SCE;SANTA CECILIA;REP;REPUBLICA
Trabalho Serviços;75;REP;REPUBLICA;SMI;SAO MIGUEL
Trabalho Serviços;65;SMI;SAO MIGUEL;TAT;TATUAPE
Trabalho Serviços;2;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;2;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;19;REP;REPUBLICA;SEE;SE
Trabalho Serviços;2;SEE;SE;SEE;SE
Trabalho Serviços;15;REP;REPUBLICA;SEE;SE
Trabalho Serviços;22;REP;REPUBLICA;PIN;PINHEIROS
Trabalho Serviços;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;15;REP;REPUBLICA;SEE;SE
Trabalho Serviços;12;REP;REPUBLICA;SEE;SE
Trabalho Comércio;2;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;2;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;30;REP;REPUBLICA;JDP;JARDIM PAULISTA
Trabalho Comércio;1;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;1;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;15;JDP;JARDIM PAULISTA;REP;REPUBLICA
Trabalho Comércio;15;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;10;SEE;SE;REP;REPUBLICA
Trabalho Comércio;10;SEE;SE;REP;REPUBLICA
Trabalho Comércio;20;REP;REPUBLICA;BRS;BRAS
Trabalho Serviços;15;REP;REPUBLICA;SCE;SANTA CECILIA
Trabalho Serviços;20;REP;REPUBLICA;SEE;SE
Trabalho Serviços;60;REP;REPUBLICA;INI;ITAIM BIBI
Trabalho Comércio;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;30;REP;REPUBLICA;BRS;BRAS
Trabalho Comércio;2;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;1;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;1;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;20;REP;REPUBLICA;JAB;JABAQUARA
Trabalho Comércio;20;REP;REPUBLICA;JAB;JABAQUARA
Trabalho Serviços;50;REP;REPUBLICA;BVI;BELA VISTA
Trabalho Comércio;10;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;90;REP;REPUBLICA;fora_sp;Fora São Paulo
Trabalho Comércio;90;REP;REPUBLICA;JDS;JARDIM SAO LUIS
Trabalho Serviços;60;REP;REPUBLICA;BVI;BELA VISTA
Trabalho Serviços;20;REP;REPUBLICA;BRE;BOM RETIRO
Trabalho Serviços;30;REP;REPUBLICA;SCE;SANTA CECILIA
Trabalho Serviços;20;REP;REPUBLICA;SCE;SANTA CECILIA
Trabalho Comércio;15;REP;REPUBLICA;SEE;SE
Trabalho Comércio;15;REP;REPUBLICA;SEE;SE
Trabalho Serviços;60;REP;REPUBLICA;VPR;VILA PRUDENTE
Trabalho Serviços;15;REP;REPUBLICA;LIB;LIBERDADE
Trabalho Comércio;40;REP;REPUBLICA;VPR;VILA PRUDENTE
Trabalho Comércio;60;REP;REPUBLICA;VGL;VILA GUILHERME
Trabalho Comércio;40;REP;REPUBLICA;PIN;PINHEIROS
Trabalho Comércio;20;REP;REPUBLICA;BRE;BOM RETIRO
Trabalho Serviços;20;REP;REPUBLICA;BRE;BOM RETIRO
Trabalho Serviços;20;REP;REPUBLICA;BVI;BELA VISTA
Trabalho Indústria;30;REP;REPUBLICA;PRI;PARI
Trabalho Serviços;40;REP;REPUBLICA;BRS;BRAS
Trabalho Serviços;50;REP;REPUBLICA;BRS;BRAS
Trabalho Serviços;30;REP;REPUBLICA;CON;CONSOLACAO
Trabalho Comércio;50;REP;REPUBLICA;PIN;PINHEIROS
Trabalho Serviços;30;REP;REPUBLICA;BVI;BELA VISTA
Trabalho Serviços;40;REP;REPUBLICA;TAT;TATUAPE
Trabalho Serviços;20;REP;REPUBLICA;TAT;TATUAPE
Trabalho Serviços;41;REP;REPUBLICA;SEE;SE
Trabalho Serviços;50;SEE;SE;SCE;SANTA CECILIA
Trabalho Serviços;70;SCE;SANTA CECILIA;SEE;SE
Trabalho Serviços;5;REP;REPUBLICA;SEE;SE
Trabalho Serviços;30;SEE;SE;BUT;BUTANTA
Trabalho Serviços;40;BUT;BUTANTA;SEE;SE
Trabalho Serviços;30;REP;REPUBLICA;PRI;PARI
Trabalho Serviços;120;REP;REPUBLICA;fora_sp;Fora São Paulo
Trabalho Comércio;15;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;15;REP;REPUBLICA;PRI;PARI
Trabalho Comércio;10;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;10;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;40;REP;REPUBLICA;JDP;JARDIM PAULISTA
Trabalho Serviços;5;JDP;JARDIM PAULISTA;JDP;JARDIM PAULISTA
Trabalho Serviços;10;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;30;REP;REPUBLICA;CON;CONSOLACAO
Trabalho Comércio;15;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;30;REP;REPUBLICA;SCE;SANTA CECILIA
Trabalho Comércio;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Comércio;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;25;REP;REPUBLICA;BUT;BUTANTA
Trabalho Comércio;20;REP;REPUBLICA;CON;CONSOLACAO
Trabalho Comércio;5;REP;REPUBLICA;SCE;SANTA CECILIA
Trabalho Comércio;5;REP;REPUBLICA;SCE;SANTA CECILIA
Trabalho Serviços;30;REP;REPUBLICA;PRI;PARI
Trabalho Comércio;25;REP;REPUBLICA;BRS;BRAS
Trabalho Comércio;15;REP;REPUBLICA;SEE;SE
Trabalho Comércio;15;BRE;BOM RETIRO;PRI;PARI
Trabalho Serviços;15;BRE;BOM RETIRO;BRE;BOM RETIRO
Trabalho Serviços;60;BRE;BOM RETIRO;JDP;JARDIM PAULISTA
Trabalho Serviços;15;BRE;BOM RETIRO;PRI;PARI
Trabalho Comércio;60;BRE;BOM RETIRO;LAP;LAPA
Trabalho Comércio;30;BRE;BOM RETIRO;SEE;SE
Trabalho Comércio;15;BRE;BOM RETIRO;BRS;BRAS
Trabalho Comércio;15;BRE;BOM RETIRO;SEE;SE
Trabalho Comércio;3;SEE;SE;SEE;SE
Trabalho Comércio;20;BRE;BOM RETIRO;SEE;SE
Trabalho Serviços;60;BRE;BOM RETIRO;SAU;SAUDE
Trabalho Comércio;30;BRE;BOM RETIRO;REP;REPUBLICA
Trabalho Serviços;75;BRE;BOM RETIRO;BRL;BRASILANDIA
Trabalho Comércio;10;BRE;BOM RETIRO;BRS;BRAS
Trabalho Comércio;30;BRE;BOM RETIRO;PRI;PARI
Trabalho Comércio;5;BRE;BOM RETIRO;BRE;BOM RETIRO
Trabalho Comércio;5;BRE;BOM RETIRO;BRE;BOM RETIRO
Trabalho Comércio;5;BRE;BOM RETIRO;BRE;BOM RETIRO
Trabalho Comércio;5;BRE;BOM RETIRO;BRE;BOM RETIRO
Trabalho Serviços;20;BRE;BOM RETIRO;SEE;SE
Trabalho Serviços;40;BRE;BOM RETIRO;BFU;BARRA FUNDA
Trabalho Serviços;40;BRE;BOM RETIRO;BVI;BELA VISTA
Trabalho Serviços;2;BVI;BELA VISTA;BVI;BELA VISTA
Trabalho Comércio;15;BRE;BOM RETIRO;PRI;PARI
Trabalho Indústria;5;BRE;BOM RETIRO;BRE;BOM RETIRO
Trabalho Indústria;5;BRE;BOM RETIRO;BRE;BOM RETIRO
Trabalho Serviços;10;BRE;BOM RETIRO;BRE;BOM RETIRO
Trabalho Serviços;10;BRE;BOM RETIRO;BRE;BOM RETIRO
Trabalho Comércio;5;BRE;BOM RETIRO;BRE;BOM RETIRO
Trabalho Serviços;20;BRE;BOM RETIRO;BRE;BOM RETIRO
Trabalho Serviços;5;BRE;BOM RETIRO;BRE;BOM RETIRO
Trabalho Serviços;20;BRE;BOM RETIRO;BRE;BOM RETIRO
Trabalho Serviços;5;BRE;BOM RETIRO;BRE;BOM RETIRO
Trabalho Comércio;50;BRE;BOM RETIRO;VGL;VILA GUILHERME
Trabalho Serviços;5;BRE;BOM RETIRO;BRE;BOM RETIRO
Trabalho Serviços;10;BRE;BOM RETIRO;REP;REPUBLICA
Trabalho Serviços;50;BRE;BOM RETIRO;STN;SANTANA
Trabalho Serviços;5;STN;SANTANA;STN;SANTANA
Trabalho Serviços;65;BRE;BOM RETIRO;fora_sp;Fora São Paulo
Trabalho Serviços;60;BRE;BOM RETIRO;SAU;SAUDE
Trabalho Serviços;5;CUR;CURSINO;SAU;SAUDE
Trabalho Comércio;30;BRE;BOM RETIRO;CON;CONSOLACAO
Trabalho Comércio;10;BRE;BOM RETIRO;SCE;SANTA CECILIA
Trabalho Serviços;40;BRE;BOM RETIRO;PIN;PINHEIROS
Trabalho Serviços;25;BRE;BOM RETIRO;SCE;SANTA CECILIA
Trabalho Serviços;5;SCE;SANTA CECILIA;SCE;SANTA CECILIA
Trabalho Comércio;20;BRE;BOM RETIRO;PRI;PARI
Trabalho Comércio;2;PRI;PARI;PRI;PARI
Trabalho Serviços;10;BRE;BOM RETIRO;SEE;SE
Trabalho Serviços;75;BRE;BOM RETIRO;SAM;SANTO AMARO
Trabalho Comércio;30;BRE;BOM RETIRO;MAN;MANDAQUI
Trabalho Serviços;6;BRE;BOM RETIRO;BRE;BOM RETIRO
Trabalho Serviços;6;BRE;BOM RETIRO;BRE;BOM RETIRO
Trabalho Serviços;40;BRE;BOM RETIRO;fora_sp;Fora São Paulo
